treated_reference,treat_date,control,q,n_pre,n_post,vr_pre,vr_post,z2_pre,z2_post,ineff_pre,ineff_post,d_ineff
mustard,2021-10-08,guarseed413,2,1220,1046,0.6892235989046503,0.658721972695234,-6.6796315204080345,-8.191164920767603,0.31077640109534965,0.341278027304766,0.03050162620941632
mustard,2021-10-08,jeera,2,1230,1039,0.6468222119195874,0.6331998574007115,-5.089829333171206,-7.794984642261286,0.35317778808041256,0.3668001425992885,0.013622354518875945
mustard,2021-10-08,turmeric,2,1243,1049,0.488811147337774,0.5202337268484244,-11.843167396037662,-9.495757111653656,0.511188852662226,0.4797662731515756,-0.03142257951065042
mustard,2021-10-08,cotton,2,1242,1052,0.6485496762416778,0.626640902540691,-6.8584306775632315,-8.154293460659998,0.3514503237583222,0.37335909745930895,0.02190877370098676
mustard,2021-10-08,castor,5,1233,1041,0.4481451886314969,0.3890768008646903,-5.803326917097822,-5.355323145711617,0.5518548113685031,0.6109231991353097,0.05906838776680656
mustard,2021-10-08,guarseed413,5,1220,1046,0.5417591111203032,0.44504428477556157,-4.9356019284848855,-6.520491233977312,0.45824088887969683,0.5549557152244384,0.0967148263447416
mustard,2021-10-08,jeera,5,1230,1039,0.39404769428268005,0.4641921725218443,-4.511625027367263,-5.661055846970216,0.60595230571732,0.5358078274781557,-0.07014447823916425
mustard,2021-10-08,turmeric,5,1243,1049,0.1660315307815136,0.2071504625994145,-10.33739808554044,-8.173838128021433,0.8339684692184864,0.7928495374005855,-0.04111893181790094
mustard,2021-10-08,cotton,5,1242,1052,0.43282794679723646,0.4449493905496733,-5.408411646202009,-5.879720016143875,0.5671720532027635,0.5550506094503267,-0.012121443752436845
mustard,2021-10-08,castor,10,1233,1041,0.3486941307657749,0.2514669586314154,-4.766033860326453,-5.0695344258961175,0.6513058692342251,0.7485330413685847,0.09722717213435961
mustard,2021-10-08,guarseed413,10,1220,1046,0.5391136283211752,0.4122201149147456,-3.423622696440457,-4.798380087025298,0.46088637167882485,0.5877798850852545,0.12689351340642963
mustard,2021-10-08,jeera,10,1230,1039,0.2561719217576898,0.39738401852641037,-3.9605142320075366,-4.5301432823672885,0.7438280782423101,0.6026159814735896,-0.14121209676872049
mustard,2021-10-08,turmeric,10,1243,1049,0.0955265638441118,0.12238447359160412,-7.773215706592078,-6.411039052155635,0.9044734361558882,0.8776155264083959,-0.026857909747492248
mustard,2021-10-08,cotton,10,1242,1052,0.3968077208681681,0.41078070406452144,-3.8644699525084074,-4.174354440764679,0.6031922791318318,0.5892192959354785,-0.013972983196353317
soybean,2021-12-20,castor,2,1283,991,0.6796218218595477,0.6145096079814543,-6.4536468953870205,-6.310113331120527,0.32037817814045233,0.38549039201854574,0.0651122138780934
soybean,2021-12-20,guarseed413,2,1270,996,0.6966061250394381,0.6472747800875419,-6.82072744480472,-8.089037527735199,0.3033938749605619,0.3527252199124581,0.04933134495189617
soybean,2021-12-20,jeera,2,1280,989,0.6457354775503251,0.632413565178339,-5.0846053072887045,-7.783929940879351,0.3542645224496749,0.367586434821661,0.0133219123719861
