"Date","Price","Open","High","Low","Vol.","Change %"
"06-05-2021","7,696.00","7,698.00","7,730.00","7,624.00","1.05K","0.55%"
"05-05-2021","7,654.00","7,750.00","7,750.00","7,624.00","1.44K","-0.85%"
"04-05-2021","7,720.00","7,674.00","7,794.00","7,642.00","1.81K","0.70%"
"03-05-2021","7,666.00","7,812.00","7,812.00","7,568.00","1.61K","-1.77%"
"30-04-2021","7,804.00","8,030.00","8,044.00","7,780.00","2.00K","-2.86%"
"29-04-2021","8,034.00","7,892.00","8,140.00","7,892.00","1.96K","1.98%"
"28-04-2021","7,878.00","7,888.00","7,940.00","7,734.00","1.88K","-0.53%"
"27-04-2021","7,920.00","7,840.00","7,988.00","7,820.00","1.39K","1.38%"
"26-04-2021","7,812.00","8,064.00","8,064.00","7,792.00","3.78K","-3.75%"
"23-04-2021","8,116.00","8,272.00","8,294.00","8,066.00","2.60K","-1.60%"
"22-04-2021","8,248.00","8,218.00","8,444.00","8,160.00","3.15K","0.24%"
"21-04-2021","8,228.00","8,228.00","8,228.00","8,228.00","","3.78%"
"20-04-2021","7,928.00","7,942.00","7,942.00","7,900.00","0.12K","0.33%"
"19-04-2021","7,902.00","7,902.00","7,902.00","7,900.00","0.20K","-2.88%"
"16-04-2021","8,136.00","8,150.00","8,150.00","8,046.00","0.37K","1.70%"
"15-04-2021","8,000.00","8,000.00","8,000.00","8,000.00","0.29K","3.12%"
"14-04-2021","7,758.00","7,758.00","7,758.00","7,758.00","","0.00%"
"13-04-2021","7,758.00","8,004.00","8,090.00","7,660.00","1.38K","-4.79%"
"12-04-2021","8,148.00","8,030.00","8,198.00","7,942.00","2.48K","2.57%"
"09-04-2021","7,944.00","8,048.00","8,102.00","7,890.00","2.97K","-0.95%"
"08-04-2021","8,020.00","8,036.00","8,088.00","7,958.00","0.98K","0.20%"
"07-04-2021","8,004.00","8,100.00","8,188.00","7,950.00","1.93K","-1.21%"
"06-04-2021","8,102.00","8,170.00","8,290.00","8,026.00","2.27K","-0.83%"
"05-04-2021","8,170.00","8,350.00","8,378.00","8,062.00","3.19K","-2.69%"
"01-04-2021","8,396.00","8,452.00","8,452.00","8,274.00","2.41K","-1.11%"
"31-03-2021","8,490.00","8,550.00","8,578.00","8,332.00","2.51K","-0.91%"
"30-03-2021","8,568.00","8,550.00","8,650.00","8,454.00","2.82K","1.64%"
"29-03-2021","8,430.00","8,430.00","8,430.00","8,430.00","","0.00%"
"26-03-2021","8,430.00","8,432.00","8,598.00","8,350.00","4.27K","1.96%"
"25-03-2021","8,268.00","7,988.00","8,268.00","7,818.00","3.35K","4.00%"
"24-03-2021","7,950.00","8,220.00","8,260.00","7,920.00","2.56K","-3.26%"
"23-03-2021","8,218.00","8,250.00","8,338.00","8,172.00","2.37K","-0.24%"
"22-03-2021","8,238.00","8,146.00","8,310.00","8,110.00","3.88K","1.60%"
"19-03-2021","8,108.00","8,180.00","8,220.00","7,890.00","4.25K","-0.98%"
"18-03-2021","8,188.00","8,332.00","8,444.00","8,132.00","5.31K","-2.45%"
"17-03-2021","8,394.00","8,712.00","8,712.00","8,370.00","4.45K","-3.72%"
"16-03-2021","8,718.00","8,914.00","9,090.00","8,650.00","4.78K","-2.18%"
"15-03-2021","8,912.00","8,650.00","8,912.00","8,650.00","2.27K","3.99%"
"12-03-2021","8,570.00","8,720.00","8,768.00","8,400.00","4.20K","-0.79%"
"10-03-2021","8,638.00","9,020.00","9,096.00","8,620.00","3.51K","-3.68%"
"09-03-2021","8,968.00","8,850.00","9,076.00","8,740.00","4.33K","0.83%"
"08-03-2021","8,894.00","9,430.00","9,448.00","8,894.00","4.35K","-3.99%"
"05-03-2021","9,264.00","8,820.00","9,322.00","8,820.00","6.54K","3.35%"
"04-03-2021","8,964.00","9,522.00","9,522.00","8,964.00","8.47K","-3.98%"
"03-03-2021","9,336.00","9,060.00","9,336.00","9,060.00","6.86K","3.99%"
"02-03-2021","8,978.00","8,790.00","8,978.00","8,750.00","2.82K","3.98%"
"01-03-2021","8,634.00","8,312.00","8,634.00","8,312.00","2.93K","4.00%"
"26-02-2021","8,302.00","8,384.00","8,556.00","8,260.00","4.52K","-1.28%"
"25-02-2021","8,410.00","8,600.00","8,752.00","8,316.00","8.03K","-0.43%"
"24-02-2021","8,446.00","8,284.00","8,446.00","8,124.00","7.88K","3.99%"
