commodity,group,q,n_pre,n_post,vr_pre,z_pre,z1_pre,vr_post,z_post,z1_post,ineff_pre,ineff_post,d_ineff
castor,control,2,1283,991,0.6796218218595477,-6.4536468953870205,-11.475622559481813,0.6145096079814543,-6.310113331120527,-12.135296319314357,0.32037817814045233,0.38549039201854574,0.0651122138780934
castor,control,5,1283,991,0.45401528797953944,-5.657818143956021,-8.926335209299735,0.37111661952535036,-5.820522605869604,-9.036210229325121,0.5459847120204606,0.6288833804746496,0.08289866845418903
castor,control,10,1283,991,0.3368214065094559,-4.830759823975188,-7.035442239286487,0.2532533609348482,-5.341293759079575,-6.962379282197074,0.6631785934905441,0.7467466390651518,0.08356804557460773
guarseed413,control,2,1270,996,0.6966061250394381,-6.82072744480472,-10.812065532161421,0.6472747800875419,-8.089037527735199,-11.131820176379186,0.3033938749605619,0.3527252199124581,0.04933134495189617
guarseed413,control,5,1270,996,0.5511388658808698,-5.016913558406937,-7.301183173349428,0.426437840432355,-6.50191715363869,-8.262082776711898,0.4488611341191302,0.573562159567645,0.1247010254485148
guarseed413,control,10,1270,996,0.5509517591124276,-3.4563956609531834,-4.739608113178301,0.38911223000706174,-4.830798159302716,-5.710033736165105,0.44904824088757245,0.6108877699929383,0.1618395291053658
jeera,control,2,1280,989,0.6457354775503251,-5.0846053072887045,-12.674552867423573,0.632413565178339,-7.783929940879351,-11.559994351520476,0.3542645224496749,0.367586434821661,0.0133219123719861
jeera,control,5,1280,989,0.39310578170725025,-4.531044942056843,-9.910541084416703,0.46391109908373934,-5.617101623723629,-7.69510132702215,0.6068942182927497,0.5360889009162606,-0.0708053173764891
jeera,control,10,1280,989,0.2526543589814739,-4.012826517679538,-7.919067867524436,0.4063582522589755,-4.408286413111359,-5.529300016687394,0.7473456410185261,0.5936417477410245,-0.15370389327750156
turmeric,control,2,1294,998,0.4979622259629763,-11.846710326911218,-18.059408987248286,0.5120838500598579,-9.378499097360939,-15.413826424144863,0.5020377740370237,0.4879161499401421,-0.014121624096881558
turmeric,control,5,1294,998,0.17002309124722995,-10.440622231595697,-13.627385110560068,0.20493973582299715,-8.004825939656264,-11.464224988577321,0.8299769087527701,0.7950602641770028,-0.034916644575767264
turmeric,control,10,1294,998,0.09776920539461269,-7.892266695067916,-9.612411596172063,0.12155950527730837,-6.261406828980134,-8.219117569930665,0.9022307946053874,0.8784404947226916,-0.023790299882695765
cotton,control,2,1293,1001,0.6553096768801734,-6.968897673819593,-12.394481214484875,0.6157008123033163,-7.967971385227981,-12.15868214610429,0.3446903231198266,0.3842991876966837,0.039608864576857084
cotton,control,5,1293,1001,0.44847542581480276,-5.435320719856066,-9.051978457977444,0.42832820986997633,-5.7844685466682195,-8.255496202860051,0.5515245741851973,0.5716717901300237,0.02014721594482638
cotton,control,10,1293,1001,0.4248610026784514,-3.7976398934786224,-6.125191239752516,0.3862684914647431,-4.167581632572958,-5.750995573106336,0.5751389973215486,0.6137315085352568,0.038592511213708214
