Date,Price,Open,High,Low,Vol.,Change %,Open Interest,Contract Expiry,Days To Expiry,Roll Day
11-06-2024,59000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2024,111,0
10-06-2024,59000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2024,112,0
07-06-2024,59000.0,0.0,0.0,0.0,0,-2.48%,0,30Sep2024,115,0
06-06-2024,60500.0,0.0,0.0,0.0,0,0.00%,0,30Sep2024,116,0
05-06-2024,60500.0,0.0,0.0,0.0,0,0.00%,0,30Sep2024,117,0
04-06-2024,60500.0,0.0,0.0,0.0,0,0.00%,0,30Sep2024,118,0
03-06-2024,60500.0,0.0,0.0,0.0,0,5.03%,0,30Sep2024,119,1
31-05-2024,57600.0,57600.0,57700.0,57480.0,36,-0.48%,360,31Jul2024,61,0
30-05-2024,57880.0,58340.0,58700.0,57700.0,32,-1.13%,345,31Jul2024,62,0
29-05-2024,58540.0,58500.0,58900.0,58400.0,26,-0.24%,339,31Jul2024,63,0
28-05-2024,58680.0,57600.0,58800.0,57600.0,37,1.70%,332,31Jul2024,64,0
27-05-2024,57700.0,57800.0,57980.0,57500.0,75,-1.00%,326,31Jul2024,65,0
24-05-2024,58280.0,58500.0,58580.0,58140.0,103,0.00%,278,31Jul2024,68,0
23-05-2024,58280.0,57860.0,58600.0,57800.0,88,0.48%,206,31Jul2024,69,0
22-05-2024,58000.0,57800.0,58160.0,57620.0,58,0.76%,172,31Jul2024,70,0
21-05-2024,57560.0,57280.0,58180.0,57280.0,48,-0.62%,131,31Jul2024,71,0
20-05-2024,57920.0,0.0,0.0,0.0,0,0.00%,89,31Jul2024,72,0
17-05-2024,57920.0,57800.0,58000.0,57800.0,7,0.10%,89,31Jul2024,75,0
16-05-2024,57860.0,58000.0,58000.0,57800.0,8,0.63%,84,31Jul2024,76,0
15-05-2024,57500.0,57460.0,57500.0,57460.0,5,-1.78%,82,31Jul2024,77,0
14-05-2024,58540.0,58840.0,58840.0,58040.0,9,-0.61%,77,31Jul2024,78,0
